============================================================
ARABIC VOCABULARY ORGANIZED BY CATEGORY
============================================================

For Mode 2: Quick Review - organized by topic
Format: english | arabic | transliteration
Until we meet again | إلى اللقَاءِ |
Visiting the sick | عِيَادَةٌ |
We are not | لسنا |
We begin | نَبْدَأُ |
We love him | تحبه |
We love | تحب |
We said | قُلْنَا |
We saw | تَرَى |
We stood | قُمْنَا |
We visited | زرنا |
We want | نُرِيدُ |
We went | ذَهَبْنَا |
What is his name? | مَا اسْمُهُ |
What is your (sing.m) language? | مَا لُغَتُكَ؟ |
Which of them (dual) | أَيُّهُمَا |
You (m) | أنت |
You (pl.f) | أَنْتُنَّ |
You (pl.m) | أَنْتُمْ |
You (sing.f) | أنت |
You are not (f.pl) | لَسْتُنَّ |
You are not (f.sing) | لَسْتِ |
You are not (m.pl) | لَسْتُمْ |
You are not (m.sing) | لست |
You don't ask me | لَا تَسْأَلْنِي |
You have done well | أَحْسَنْتَ |
You hit him/it | ضَرَبْتُمُوهُ |
You killed her/it | قَتَلْتُمُوهَا |
You love | تحب |
You need (want) (f.pl) | تُرِدْنَ |
You said | قُلْتَ |
You saw them | رَأَيْتُمُوْهُمْ |
You saw | رَأَيْتَ |
You stood | قُمْتَ |
You visited | زُرْت |
You want (f) | تُرِيدِينَ |
You want (m) | تُرِيدُ |
You want (m,pl) | تُرِيدُونَ |
You wanted (f) | أَرَدْتِ |
You wanted (f.pl) | أَرَدْتُنَّ |
You wanted (m.pl) | أَرَدْتُمْ |
You wanted | أَرَدْتَ |
You went (f,sing.) | ذَهَبْتِ |
You went (f.pl) | ذَهَبْتُنَّ |
You went (m,pl) | ذَهَبْتُمْ |
You went (m,sing.) | ذَهَبْت |
You went (pl.m) | ذهبتم |
You went (sing.m) | ذهبت |
You wish | تَشَاءُ |
Your (attached pronoun pl.f) | كُنَّ |
Your (pl.m) (attached pronoun) | كُمْ |
Your (sing.m) mother | أُمُّكَ |
evil is that which | بئسما
for what/that which | لما
from those who | مِمَّنْ
he blocked | سد |
he who | الذي
hour (day of resurrection) | ساعة
if; either / or | إما
my name is | اسمي | ismi
other than | غَيْر
she who | التي
some of | بعض
that (feminine) | تلك
that (masculine) | ذالك
that day | يَوْمَئِذٍ
the Hell | جَهَنَّم
the Hereafter | الآخِرَة
their (masculine) | هم
these (for broken plurals) | هذه
they (masculine) | هم | hum
this (feminine) | هذه
this (masculine) | هذا
those (for broken plurals) | تلك
those (masculine) | اولئك
those two | هُمَا
those who | الذين
to be true; to say the truth | صَدَقَ (يَصْدُقُ)
to become black | اسْوَدَّ (يَسْوَدُّ)
to become clear | تَبَيَّنَ (يَتَبَيَّنُ)
to become good; to make good | أَصْلَحَ (يُصْلِحُ)
to become nigh; to be close to | كَادَ (يَكَادُ)
to become white | ابيض (يبيض)
to come out | خَرَجَ (يَخْرُجُ)
to follow the right way | اهْتَدَى (يَهْتَدي)
what / that which | ما
what is your name | ما اسمك | ma ismak
who / the one who | مَنْ
you (feminine) | أنت
you (masculine) | أَنْتَ
you (plural) | أنتم | antum
you all (masculine) | أنتُم
you two | أَنْتُمَا
your (masculine) | ك...

============================================================
# QUESTION WORDS (7 words)
============================================================

Who? | مَنْ
Whose? | لمن
when? | متى
where? | أَيْنَ
wherefrom? / why? | أني
which? | أَيُّ
why? | لمَ / لِمَاذَا

============================================================
# NEGATION & AFFIRMATION (23 words)
============================================================

He/Is not | لَيْسَ |
Indeed I | إِنَّنِي إِنِّي |
Indeed he | إِنَّهُ |
Indeed she | إِنَّهَا |
Indeed we | إِنَّنَا إِنَّا |
Indeed, of course, true | بَلَى |
Indeed/maybe | قَدْ |
No, No!!! | لا
Not that/except | الا |
Not yet | لَمَّا |
Verily, indeed, | إِنَّ |
indeed | لـ
indeed, surely | لقد
is not (feminine) | لَيْسَتْ
is not (masculine) | لَيْسَ
never certainly not | كلا
not (for future) | لن
not (for past) | لم
that..not / so as not to | أَلا / أَنْ لا
to not recognize; to deny | أَنْكَرَ (يُنكر)
yes | نَعَمْ
yes, indeed | بَلَى
yesterday | أمس | ams

============================================================
# FAMILY & RELATIONSHIPS (65 words)
============================================================

$1^{s+}$ person | الْمُتَكَلِّمُ |
$2^{nd}$ person | الْمُخَاطَبُ |
$3^{rd}$ person | الْغَائِبُ |
2 brothers | أَخَوَانٌ |
A sister | أُخت |
Aunties (maternal) | حالات |
Aunties (paternal) | عَمَّاتُ |
Childhood period | صغر |
Daughters/ girls | بنات |
Fathers | آباء |
Five fathers | خَمْسَةُ آباء |
Five mothers | خَمْسُ أُمَّهَاتِ |
Full brother | شَقِيق |
Full brothers | أَشِقَاءُ |
Girl/daughter | بنت |
Grandson | حفيد |
Grandsons | حفدة |
Husbands | أَزْوَاجٌ |
Lesson | درس |
Lessons | دروس |
Maternal aunt | خالة |
Maternal uncle | خال |
Mothers | أُمَّهَاتُ |
O daughter of Bilaal | يَا بِنْتَ بِلالٍ |
O dear father | يَا أَبَتِ |
O sister of Haamid | يَا أُخْتَ حَامِدٍ |
